variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.25,0.99,,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,0.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,0.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,0.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,0.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,0.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,0.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,0.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,0.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,5.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,5.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,5.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,5.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,5.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,5.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,5.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,5.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,10.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,10.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,10.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,10.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,10.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,10.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,10.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,10.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,15.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,15.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,15.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,15.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,15.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,15.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.99,15.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.99,15.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,0.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,0.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,0.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,0.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,0.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,0.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,0.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,0.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,5.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,5.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,5.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,5.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,5.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,5.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,5.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,5.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,10.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,10.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,10.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,10.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,10.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,10.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,10.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,10.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,15.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,15.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,15.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,15.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,15.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,15.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.98,15.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.98,15.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,0.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,0.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,0.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,0.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,0.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,0.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,0.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,0.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,5.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,5.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,5.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,5.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,5.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,5.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,5.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,5.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,10.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,10.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,10.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,10.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,10.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,10.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,10.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,10.0,-0.1,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,15.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,15.0,,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,15.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_bear,0.25,0.97,15.0,0.0,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
bull_to_neutral,0.25,0.97,15.0,-0.05,0,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.0,0.0,0.0,0.0
